conj,infinitive,mode,pess,time
viam,ver,indicativo,eles/elas,pretérito imperfeito
vira,ver,indicativo,eu,pret. mais-que-perfeito
verei,ver,indicativo,eu,futuro
veria,ver,indicativo,eu,condicional
viras,ver,indicativo,tu,pret. mais-que-perfeito
verás,ver,indicativo,tu,futuro
verias,ver,indicativo,tu,condicional
vira,ver,indicativo,ele/ela,pret. mais-que-perfeito
verá,ver,indicativo,ele/ela,futuro
veria,ver,indicativo,ele/ela,condicional
víramos,ver,indicativo,nós,pret. mais-que-perfeito
veremos,ver,indicativo,nós,futuro
veríamos,ver,indicativo,nós,condicional
víreis,ver,indicativo,vós,pret. mais-que-perfeito
vereis,ver,indicativo,vós,futuro
veríeis,ver,indicativo,vós,condicional
viram,ver,indicativo,eles/elas,pret. mais-que-perfeito
verão,ver,indicativo,eles/elas,futuro
veriam,ver,indicativo,eles/elas,condicional
sei,saber,indicativo,eu,presente
soube,saber,indicativo,eu,pretérito perfeito
sabia,saber,indicativo,eu,pretérito imperfeito
sabes,saber,indicativo,tu,presente
soubeste,saber,indicativo,tu,pretérito perfeito
sabias,saber,indicativo,tu,pretérito imperfeito
sabe,saber,indicativo,ele/ela,presente
soube,saber,indicativo,ele/ela,pretérito perfeito
sabia,saber,indicativo,ele/ela,pretérito imperfeito
sabemos,saber,indicativo,nós,presente
soubemos,saber,indicativo,nós,pretérito perfeito
sabíamos,saber,indicativo,nós,pretérito imperfeito
sabeis,saber,indicativo,vós,presente
soubestes,saber,indicativo,vós,pretérito perfeito
sabíeis,saber,indicativo,vós,pretérito imperfeito
sabem,saber,indicativo,eles/elas,presente
souberam,saber,indicativo,eles/elas,pretérito perfeito
sabiam,saber,indicativo,eles/elas,pretérito imperfeito
soubera,saber,indicativo,eu,pret. mais-que-perfeito
saberei,saber,indicativo,eu,futuro
saberia,saber,indicativo,eu,condicional
souberas,saber,indicativo,tu,pret. mais-que-perfeito
saberás,saber,indicativo,tu,futuro
saberias,saber,indicativo,tu,condicional
soubera,saber,indicativo,ele/ela,pret. mais-que-perfeito
saberá,saber,indicativo,ele/ela,futuro
saberia,saber,indicativo,ele/ela,condicional
soubéramos,saber,indicativo,nós,pret. mais-que-perfeito
saberemos,saber,indicativo,nós,futuro
saberíamos,saber,indicativo,nós,condicional
soubéreis,saber,indicativo,vós,pret. mais-que-perfeito
sabereis,saber,indicativo,vós,futuro
saberíeis,saber,indicativo,vós,condicional
souberam,saber,indicativo,eles/elas,pret. mais-que-perfeito
saberão,saber,indicativo,eles/elas,futuro
saberiam,saber,indicativo,eles/elas,condicional
quero,querer,indicativo,eu,presente
quis,querer,indicativo,eu,pretérito perfeito
queria,querer,indicativo,eu,pretérito imperfeito
